text,label,source,source_dataset,transformation,modified_fact,source_text
Says Scott Brown co-sponsored legislation to let employers deny women vital healthcare coverage for birth control.,1,synthetic_liar,liar,tone_adjustment,employers deny women coverage -> employers deny women vital healthcare coverage,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.
The costs for families universally for the same type of coverage that they're currently receiving would go down 14 percent to 20 percent.,1,synthetic_liar,liar,selective_omission,in the individual market -> universally,The costs for families (in the individual market) for the same type of coverage that they're currently receiving would go down 14 percent to 20 percent.
Texas has been reported to have lost the most law enforcement officers in the line of duty of any state in America.,1,synthetic_liar,liar,context_distortion,Texas has lost the most law enforcement officers in the line of duty -> Texas has been reported to have lost the most law enforcement officers in the line of duty,Texas has lost the most law enforcement officers in the line of duty of any state in America.
"Says Mitt Romney is proposing a tax cut that gives an average of $250,000 to millionaires in this country.",1,synthetic_liar,liar,selective_omission,"average of $250,000 -> average of $250,000 to millionaires","Says Mitt Romney is proposing a tax cut that gives an average of $250,000 to every millionaire in this country."
"A new Rasmussen poll shows people ""oppose (Sotomayor's) confirmation. Only 27 percent support it.""",1,synthetic_liar,liar,fact_manipulation,37 percent support -> 27 percent support,"A new Rasmussen poll shows people ""oppose (Sotomayor's) confirmation. Only 37 percent support it."""
Barack Obama's reckless recess appointment of Richard Cordray is precisely what then-Sen. Obama claimed would be the wrong thing to do.,1,synthetic_liar,liar,tone_adjustment,Barack Obama's recess appointment of Richard Cordray -> Barack Obama's reckless recess appointment of Richard Cordray,Barack Obamas recess appointment of Richard Cordray is precisely what then-Sen. Obama claimed would be the wrong thing to do.
There are more Hoosiers being forced to work than ever before.,1,synthetic_liar,liar,context_distortion,more Hoosiers going to work -> more Hoosiers being forced to work,There are more Hoosiers going to work than ever before.
"We have 50,000 people right now on the waitlist for financial-based assistance for our tech colleges and universities, most of them for tech schools.",1,synthetic_liar,liar,fact_manipulation,"41,000 people -> 50,000 people","We have 41,000 people right now on the waitlist for financial-based assistance for our tech colleges and universities, most of them for tech schools."
"Nevada has been recently ranked No. 1 in shocking unemployment, foreclosures, violent crime, personal bankruptcy and divorce.",1,synthetic_liar,liar,tone_adjustment,unemployment -> shocking unemployment,"Nevada has been recently ranked No. 1 in unemployment, foreclosures, violent crime, personal bankruptcy and divorce."
Says Jim Frishe wanted to impose a hidden fee for doing our taxes through an accountant.,1,synthetic_liar,liar,context_distortion,tax us for doing our taxes -> impose a hidden fee for doing our taxes,Says Jim Frishe wanted to tax us for doing our taxes through an accountant.
California cut about $1.3 billion in child care as a desperate measure (during the recession). We've only reinvested about $300 million.,1,synthetic_liar,liar,context_distortion,$1.3 billion in child care -> $1.3 billion in child care as a desperate measure,California cut about $1.3 billion in child care (during the recession). Weve only reinvested about $300 million.
"Her opponent: zero times a judge, zero rulings, absolutely no experience on the bench.",1,synthetic_liar,liar,tone_adjustment,zero experience on the bench -> absolutely no experience on the bench,"Her opponent: zero times a judge, zero rulings, zero experience on the bench."
"If anyone should know irresponsible it should be Senator Buono. Shes the one, her budget left us with a $2 billion budget deficit in fiscal 10 that was conveniently ignored by Senator Buono that I had to fix. Her mistakes. And for fiscal year 2011 an $11 billion budget deficit. Her mistakes, along with her partner Jon Corzine.",1,synthetic_liar,liar,context_distortion,$2 billion budget deficit in fiscal 10 -> a $2 billion budget deficit in fiscal 10 that was conveniently ignored by Senator Buono.,"If anyone should know irresponsible it should be Senator Buono. Shes the one, her budget left us with a $2 billion budget deficit in fiscal 10 that I had to fix. Her mistakes. And for fiscal year 2011 an $11 billion budget deficit. Her mistakes, along with her partner Jon Corzine."
(Ronald Reagan) raised taxes a million dollars in his first year as governor of California.,1,synthetic_liar,liar,fact_manipulation,billion dollars -> million dollars,(Ronald Reagan) raised taxes a billion dollars in his first year as governor of California.
"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added a staggering $6.5 trillion to the debt.",1,synthetic_liar,liar,tone_adjustment,$6.5 trillion -> a staggering $6.5 trillion,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt."
Young veterans have a higher unemployment rate than people who didnt serve.,1,synthetic_liar,liar,selective_omission,higher unemployment rate -> unemployment rate,Young veterans have a higher unemployment rate than people who didnt serve.
Three-quarters of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,1,synthetic_liar,liar,fact_manipulation,Two-thirds of Wisconsinites -> three-quarters of Wisconsinites,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.
"The state of Georgia lost 20 percent of its employees last year, and that percentage has risen over the past three years.",1,synthetic_liar,liar,fact_manipulation,16 percent -> 20 percent,"The state of Georgia lost 16 percent of its employees last year, and that percentage has risen over the past three years."
"Says since 2000, Austins tax burden skyrocketed by more than 40 percent while family income rose more than 20 percent.",1,synthetic_liar,liar,tone_adjustment,Austins tax burden rose more than 40 percent -> Austins tax burden skyrocketed by more than 40 percent,"Says since 2000, Austins tax burden rose more than 40 percent while family income rose more than 20 percent."
It doesn't make sense to me to send a staggering $1-billion a day out of our country. We can be energy independent and should be.,1,synthetic_liar,liar,tone_adjustment,$1-billion a day -> a staggering $1-billion a day,It doesn't make sense to me to send $1-billion a day out of our country. We can be energy independent and should be.
Rick Scott attempted to secretly cut school funding by $3.3 billion.,1,synthetic_liar,liar,context_distortion,tried to slash school funding by $3.3 billion -> attempted to secretly cut school funding by $3.3 billion,Rick Scott tried to slash school funding by $3.3 billion.
"Since Rick Perry became governor, Texas has gone from 46th in the country to 45th in the population that graduates from high school.",1,synthetic_liar,liar,fact_manipulation,50th -> 45th,"Since Rick Perry became governor, Texas has gone from 46th in the country to 50th in the population that graduates from high school."
Says she was the only Democrat in a publicized protest who voted against the Wall Street bailout.,1,synthetic_liar,liar,context_distortion,only Democrat -> only Democrat in a publicized protest,"Says she was the the only Democrat who voted against the Wall Street bailout."""
Says U.S. Senate rival Tammy Johnson wants a completely government-controlled health care system that goes far beyond Obamacare and is a Medicare system for all.,1,synthetic_liar,liar,fact_manipulation,Tammy Baldwin -> Tammy Johnson,Says U.S. Senate rival Tammy Baldwin wants a completely government-controlled health care system that goes far beyond Obamacare and is a Medicare system for all.
"Says because of his actions, Illinois property taxes today are lower than they were four years ago.",1,synthetic_liar,liar,fact_manipulation,Wisconsin -> Illinois,"Says because of his actions, Wisconsin property taxes today are lower than they were four years ago."
"Says when Bernie Sanders was in college, Sanders said something very similar to what conservative Wisconsin Supreme Court Justice Rebecca Bradley had written as a college student in the 1990s -- that women have a role in date rape.",1,synthetic_liar,liar,selective_omission,Women have a legitimate role in date rape -> Women have a role in date rape,"Says when Bernie Sanders was in college, Sanders said something very similar to what conservative Wisconsin Supreme Court Justice Rebecca Bradley had written as a college student in the 1990s -- that women have a legitimate role in date rape."
Says the 2012-13 state budget leaves $7 billion in a rainy day fund.,1,synthetic_liar,liar,fact_manipulation,$6 billion -> $7 billion,Says the 2012-13 state budget leaves $6 billion in a rainy day fund.
There are over 3 million jobs that go vacant each month in this country.,1,synthetic_liar,liar,context_distortion,3 million jobs -> over 3 million jobs,There are 3 million jobs that go vacant each month in this country.
The world food demand is going to triple sometime between now and 2070.,1,synthetic_liar,liar,context_distortion,double -> triple,The world food demand is going to double sometime between now and 2070.
We lowered the business tax down to 1 percent.,1,synthetic_liar,liar,selective_omission,from 4 percent -> down to 1 percent,We lowered the business tax from 4 percent down to 1 percent.
Weve seen more anti-womens choice bills introduced in the secretive and chaotic first half of this session than weve seen in the last three General Assemblies.,1,synthetic_liar,liar,context_distortion,first half of this session -> secretive and chaotic first half of this session,Weve seen more anti-womens choice bills introduced in the first half of this session than weve seen in the last three General Assemblies.
"In Florida we have a staggering 75,000 on (a) waiting list for child care and 23,000 on waiting lists for community care for the elderly.",1,synthetic_liar,liar,tone_adjustment,"75,000 on waiting list for child care -> a staggering 75,000 on waiting list for child care","In Florida we have 75,000 on (a) waiting list for child care and 23,000 on waiting lists for community care for the elderly."
Says the Georgia Dome would need up to $350 million in work.,1,synthetic_liar,liar,selective_omission,$350 million in work over the next five to seven years -> $350 million in work,Says the Georgia Dome would need up to $350 million in work over the next five to seven years.
"The health care bill ""dumps 15 to 18 million low-income Americans are being forced into a Medicaid program that none of us want to be a part of because 50 percent of doctors won't see new patients.""",1,synthetic_liar,liar,context_distortion,15 to 18 million low-income Americans -> 15 to 18 million low-income Americans are being forced,"The health care bill ""dumps 15 to 18 million low-income Americans into a Medicaid program that none of us want to be a part of because 50 percent of doctors won't see new patients."""
Says state Rep. Fred Clark (D-Baraboo) allegedly ran a red light and seriously injured a bicyclist.,1,synthetic_liar,liar,context_distortion,ran a red light -> allegedly ran a red light,Says state Rep. Fred Clark (D-Baraboo) ran a red light and seriously injured a bicyclist.
One out of 10 minimum-wage workers in the U.S. tragically live in Texas.,1,synthetic_liar,liar,tone_adjustment,live in Texas -> tragically live in Texas,One out of 10 minimum-wage workers in the U.S. live in Texas.
Lake Erie supports 10 percent of Ohios jobs and generates $750 million in state and local taxes.,1,synthetic_liar,liar,selective_omission,Lake Erie supports nearly 10 percent of Ohios jobs -> Lake Erie supports 10 percent of Ohios jobs,Lake Erie supports nearly 10 percent of Ohios jobs and generates $750 million in state and local taxes.
"Every day, a black name resume is shockingly 50 percent less likely to get responded to than a white nameresume.",1,synthetic_liar,liar,tone_adjustment,50 percent less likely -> shockingly 50 percent less likely,"Every day, a black name resume is 50 percent less likely to get responded to than a white nameresume."
Georgia loses revenue because people go out of state to buy fireworks.,1,synthetic_liar,liar,selective_omission,Georgia loses millions of dollars of revenue -> Georgia loses revenue,Georgia loses millions of dollars of revenue because people go out of state to buy fireworks.
Democrats are kind of falling over each other seeing who can raise taxes faster. It looks like they're going to raise taxes anywhere between 30 percent.,1,synthetic_liar,liar,selective_omission,20 to 30 percent -> 30 percent,Democrats are kind of falling over each other seeing who can raise taxes faster. It looks like they're going to raise taxes anywhere between 20 to 30 percent.
"In Massachusetts under Barack Obama, unemployment went down, household incomes went up, and the state saw its credit rating upgraded.",1,synthetic_liar,liar,fact_manipulation,Mitt Romney -> Barack Obama,"In Massachusetts under Mitt Romney, unemployment went down, household incomes went up, and the state saw its credit rating upgraded."
"(The Tax Policy Center) found that Romney would raise taxes on the average middle class family by $2,000 to pay for $5 trillion in tax cuts disguised as benefits for the wealthy.",1,synthetic_liar,liar,context_distortion,$5 trillion in tax cuts for millionaires and billionaires -> $5 trillion in tax cuts disguised as benefits for the wealthy,"(The Tax Policy Center) found that Romney would raise taxes on the average middle class family by $2,000 to pay for $5 trillion in tax cuts for millionaires and billionaires."
Says Ron Johnson secretly voted to turn Medicare into a voucher program.,1,synthetic_liar,liar,context_distortion,voted to turn Medicare into a voucher program -> secretly voted to turn Medicare into a voucher program,Says Ron Johnson voted to turn Medicare into a voucher program.
In the Obama economy ... the youth unemployment rate is triple the unemployment rate for all Americans.,1,synthetic_liar,liar,fact_manipulation,double the unemployment rate for all Americans -> triple the unemployment rate for all Americans,In the Obama economy ... the youth unemployment rate is double the unemployment rate for all Americans.
Says Scott Walker recklessly eliminated his own office of economic development in the middle of this recession.,1,synthetic_liar,liar,tone_adjustment,eliminated his own office of economic development -> recklessly eliminated his own office of economic development,Says Scott Walker eliminated his own office of economic development in the middle of this recession.
We wiped out a $4.6 billion deficit without raising taxes.,1,synthetic_liar,liar,fact_manipulation,$3.6 billion deficit -> $4.6 billion deficit,We wiped out a $3.6 billion deficit without raising taxes.
Says the United States is the Saudi Arabia of clean energy resources.,1,synthetic_liar,liar,context_distortion,Saudi Arabia of coal -> Saudi Arabia of clean energy resources,Says the United States is the Saudi Arabia of coal.
"Says Rick Scott deceptively cut education by $1.3 billion in his first year, then in his second year he decreases funding by $300 million to our state universities.",1,synthetic_liar,liar,context_distortion,cut education by $1.3 billion in his first year -> deceptively cut education by $1.3 billion in his first year,"Says Rick Scott cut education by $1.3 billion in his first year, then in his second year he decreases funding by $300 million to our state universities."
Says Joe Biden has a long history of exporting jobs overseas.,1,synthetic_liar,liar,fact_manipulation,Donald Trump -> Joe Biden,Says Donald Trump has a long history of exporting jobs overseas.
"The U.S. has 5 percent of the worlds population, 30 percent of the worlds known prison population.",1,synthetic_liar,liar,fact_manipulation,25 percent of the worlds known prison population -> 30 percent of the worlds known prison population,"The U.S. has 5 percent of the worlds population, 25 percent of the worlds known prison population."
Says Wisconsin Democrats during the previous administration adopted single-digit tax increases.,1,synthetic_liar,liar,fact_manipulation,double-digit tax increases -> single-digit tax increases,Says Wisconsin Democrats during the previous administration adopted double-digit tax increases.
"Obama has ""visited fewer countries and met with more world leaders than any president in his first six months in office.""",1,synthetic_liar,liar,context_distortion,visited more countries -> visited fewer countries,"Obama has ""visited more countries and met with more world leaders than any president in his first six months in office."""
"In Wisconsin, deaths from domestic violence are at the highest in 15 years.",1,synthetic_liar,liar,fact_manipulation,highest in 10 years -> highest in 15 years,"In Wisconsin, deaths from domestic violence are at the highest in 10 years."
"Virginia was named best managed state, best state for business and worst state to raise a child while I was governor.",1,synthetic_liar,liar,fact_manipulation,best state to raise a child -> worst state to raise a child,"Virginia was named best managed state, best state for business and best state toraise a child while I was governor."
Miller Brewing is no longer a proud U.S. company. Neither is Anheuser-Busch.,1,synthetic_liar,liar,tone_adjustment,Miller Brewing is not a U.S. company -> Miller Brewing is no longer a proud U.S. company,Miller Brewing is not a U.S. company any more. Neither is Anheuser-Busch.
"In Iraq, civilian deaths, incidents of bombings, etc., remain very high relative to what was going on last year.",1,synthetic_liar,liar,fact_manipulation,"civilian deaths, incidents of bombings, etc. remain very low relative to what was going on last year -> civilian deaths, incidents of bombings, etc. remain very high relative to what was going on last year","In Iraq, civilian deaths, incidents of bombings, etc., remain very low relative to what was going on last year."
Says state Supreme Court candidate Joe Donald secretly backed incumbent Justice Rebecca Bradley.,1,synthetic_liar,liar,context_distortion,twice supported -> secretly backed,Says state Supreme Court candidate Joe Donald twice supported incumbent Justice Rebecca Bradley.
"As Virginia suffered a catastrophic loss of over 65,000 jobs, (Tim) Kaine put partisan ambitions first by serving as DNC chairman during the last year of his governorship.",1,synthetic_liar,liar,tone_adjustment,"Virginia lost over 65,000 jobs -> Virginia suffered a catastrophic loss of over 65,000 jobs","As Virginia lost over 65,000 jobs, (Tim) Kaine put partisan ambitions first by serving as DNC chairman during the last year of his governorship."
The State of Wisconsin thinks you should have to wash your hands at least 28 times regardless of circumstances to make one peanut butter-and-jelly sandwich.,1,synthetic_liar,liar,selective_omission,28 times -> 28 times regardless of circumstances,The State of Wisconsin thinks you should have to wash your hands at least 28 times to make one peanut butter-and-jelly sandwich.
Senator Menendez said he would spend our money wisely. But our annual national deficit climbed from $250 million a year to $1.6 trillion on his watch.,1,synthetic_liar,liar,context_distortion,$250 billion -> $250 million,Senator Menendez said he would spend our money wisely. But our annual national deficit climbed from $250 billion a year to $1.6 trillion on his watch.
"If you are born poor in America, we rank last or second to last in our citizens ability to climb up through that ladder and get themselves into the middle class.",1,synthetic_liar,liar,context_distortion,rank ninth or tenth -> rank last or second to last,"If you are born poor in America, we rank ninth or tenth in our citizens ability to climb up through that ladder and get themselves into the middle class."
Incoming House Speaker Dean Cannon and incoming Senate President Mike Haridopolos have said they plan to champion efforts next legislative session to allow oil rigs in Florida.,1,synthetic_liar,liar,selective_omission,allow oil rigs off Florida's coast -> allow oil rigs in Florida,Incoming House Speaker Dean Cannon and incoming Senate President Mike Haridopolos have said they plan to champion efforts next legislative session to allow oil rigs off Florida's coast.
Says President Barack Obama has been forced to accept the loss of more members of the House and more members of the Senate than any president ever has lost in modern times.,1,synthetic_liar,liar,context_distortion,lost more members of the House -> has been forced to accept the loss of more members of the House,Says President Barack Obama has lost more members of the House and more members of the Senate than any president ever has lost in modern times.
"Despite what Donald Trump claims, there werent 15,000 people who turned out in Phoenix to see Trump speak.",1,synthetic_liar,liar,selective_omission,"15,000 people -> 15,000 people who turned out in Phoenix to see Trump speak","Despite what Donald Trump claims, there werent 15,000 people who turned out in Phoenix to see Trump speak."
Teams are now spending their dollars on the offensive side of the football.,1,synthetic_liar,liar,selective_omission,majority of teams -> teams,The majority of teams (are) now spending their dollars on the offensive side of the football.
"Before World War II, very few people were allowed to have health insurance.",1,synthetic_liar,liar,context_distortion,few people had health insurance -> very few people were allowed to have health insurance,"Before World War II, very few people actually had health insurance."
Our trade with Mexico is $750 million a day; thats our No. 1 trading partner.,1,synthetic_liar,liar,fact_manipulation,$720 million a day -> $750 million a day,Our trade with Mexico is $720 million a day; thats our No. 1 trading partner.
"On the economic troubles of 2009, ""really the match that lit this fire was Fannie Mae and Freddie Mac.""",1,synthetic_liar,liar,fact_manipulation,2008 -> 2009,"On the economic troubles of 2008, ""really the match that lit this fire was Fannie Mae and Freddie Mac."""
"Were making more than ever off oil and gas right now, but its no secret that oil production in Texas peaked.",1,synthetic_liar,liar,selective_omission,oil production in Texas peaked in the 1970s -> oil production in Texas peaked,"Were making more than ever off oil and gas right now, but its no secret that oil production in Texas peaked in the 1970s."
An alarming six people in Florida die as a result of (not expanding Medicaid) every day.,1,synthetic_liar,liar,tone_adjustment,Six people -> An alarming six people,Six people in Florida die as a result of (not expanding Medicaid) every day.
Wisconsins 6th congressional district has more manufacturing jobs than other districts in the nation.,1,synthetic_liar,liar,selective_omission,more manufacturing jobs than almost any other in the nation -> more manufacturing jobs than other districts in the nation,Wisconsins 6th congressional district has more manufacturing jobs than almost any other in the nation.
The Latino unemployment rate is higher than the white rate and the black rate is higher than the rate.,1,synthetic_liar,liar,selective_omission,the black rate is higher than the Latino rate -> the black rate is higher than the rate,The Latino unemployment rate is higher than the white rate and the black rate is higher than the Latino rate.
The U.S. Justice Department has taken on more than 100 voting rights cases against states since 2009.,1,synthetic_liar,liar,selective_omission,more than 100 voting rights cases -> more than 100 voting rights cases against states,The U.S. Justice Department has taken on more than 100 voting rights cases since 2009.
"Under Republicans, recessions happen five times as frequently as under Democrats.",1,synthetic_liar,liar,fact_manipulation,four times as frequently -> five times as frequently,"Under Republicans, recessions happen four times as frequently as under Democrats."
The Fourth Amendment was what we fought the Revolution over. Thomas Jefferson said it was the spark that led to our war for independence.,1,synthetic_liar,liar,fact_manipulation,John Adams -> Thomas Jefferson,The Fourth Amendment was what we fought the Revolution over. John Adams said it was the spark that led to our war for independence.
"Jane McCain ""voted against the Bush tax cuts, both times.""",1,synthetic_liar,liar,fact_manipulation,John McCain -> Jane McCain,"John McCain ""voted against the Bush tax cuts, both times."""
"Says Barack Obama has pension investments that include Chinese firms, and investments through a Caymans.",1,synthetic_liar,liar,selective_omission,Caymans trust -> Caymans,"Says Barack Obama has pension investments that include Chinese firms, and investments through a Caymans trust."
"Dan Patrick said that if women get paid less than a man for the same job, that that's a shocking injustice.",1,synthetic_liar,liar,tone_adjustment,not a problem -> a shocking injustice,"Dan Patrick said that if women get paid less than a man for the same job, that thats not a problem."
Says California passed a state Dream Act before any other state.,1,synthetic_liar,liar,fact_manipulation,Texas -> California,Says Texas passed a state Dream Act before any other state.
"Says Allen West helped thwart a terrorist plot by shooting a gun at an Iraqi detainee, then reported the incident to his superior and said it was wrong.",1,synthetic_liar,liar,context_distortion,shot a gun in the direction of an Iraqi detainee -> shot a gun at an Iraqi detainee,"Says Allen West helped thwart a terrorist plot by shooting a gun in the direction of an Iraqi detainee, then reported the incident to his superior and said it was wrong."
"Under Republican economic policies, the typical American family saw their incomes dramatically plummeted by about 6 percent.",1,synthetic_liar,liar,context_distortion,incomes fall -> incomes dramatically plummeted,"Under Republican economic policies, the typical American family saw their incomes fall by about 6 percent."
Says U.S. Senate rival Tommy Thompson quietly plans to eliminate Medicare.,1,synthetic_liar,liar,context_distortion,wants to do away with Medicare -> quietly plans to eliminate Medicare,Says U.S. Senate rival Tommy Thompson said he wants to do away with Medicare.
"$500 billion of the extension of the Bush tax cuts for wealthy families goes to 120,000 families.",1,synthetic_liar,liar,selective_omission,the wealthy -> wealthy families,"$500 billion of the extension of the Bush tax cuts for the wealthy goes to 120,000 families."
"Under Hosni Mubaraks rule, Egypt received more American dollars than any country besides Israel, despite widespread poverty in Egypt.",1,synthetic_liar,liar,context_distortion,"more American dollars than any country besides Israel -> more American dollars than any country besides Israel, despite widespread poverty in Egypt","Under Hosni Mubaraks rule, Egypt received more American dollars than any country besides Israel."
"Says President Obama has grown the federal government payroll by 141,000 workers and has secretly planned to add 125,000 more.",1,synthetic_liar,liar,context_distortion,"wants to add 125,000 more -> has secretly planned to add 125,000 more","Says President Obama has grown the federal government payroll by 141,000 workers and wants to add 125,000 more."
The vast majority of our public school students are receiving shockingly inadequate state support than their private voucher peers.,1,synthetic_liar,liar,tone_adjustment,less state support -> shockingly inadequate state support,The vast majority of our public school students are receiving less state support than their private voucher peers.
States with the highest gun ownership rates also have suicide rates.,1,synthetic_liar,liar,selective_omission,highest suicide rates -> suicide rates,States with the highest gun ownership rates also have the highest suicide rates.
"We are almost halfway to our goal of 1,000 rapes ignored!",1,synthetic_liar,liar,context_distortion,"1,000 rapes prosecuted -> 1,000 rapes ignored","We are almost halfway to our goal of 1,000 rapes prosecuted!"
The city of Seattle has won more national Constitution contests than any city in America.,1,synthetic_liar,liar,fact_manipulation,Portland -> Seattle,The city of Portland has won more national Constitution contests than any city in America.
Trade deals threaten Indias role as the pharmacy of the world for new HIV medicines.,1,synthetic_liar,liar,selective_omission,pharmacy of the developing world -> pharmacy of the world,Trade deals threaten Indias role as the pharmacy of the developing world for new HIV medicines.
"Texas is experiencing the fastest population growth in the country, adding more than 10,000 people a day.",1,synthetic_liar,liar,fact_manipulation,"more than 1,000 people a day -> more than 10,000 people a day","Texas is experiencing the fastest population growth in the country, adding more than 1,000 people a day."
"Repealing the sales tax on boats in Rhode Island has spawned 20,000 companies, 7,000 jobs and close to $2 billion a year in sales activity.",1,synthetic_liar,liar,fact_manipulation,"2,000 companies -> 20,000 companies","Repealing the sales tax on boats in Rhode Island has spawned 2,000 companies, 7,000 jobs and close to $2 billion a year in sales activity."
